funcid,dim,milestone,error
19,30,1,2.713597e+09
19,30,2,2.713597e+09
19,30,3,2.713597e+09
19,30,5,2.713597e+09
19,30,1,3.857834e+09
19,30,2,3.857834e+09
19,30,3,3.857834e+09
19,30,5,3.857834e+09
19,30,1,7.912701e+09
19,30,2,4.741706e+09
19,30,3,4.741706e+09
19,30,5,2.866271e+09
19,30,1,4.538433e+09
19,30,2,4.538433e+09
19,30,3,2.837128e+09
19,30,5,2.209187e+08
19,30,1,1.827342e+09
19,30,2,1.827342e+09
19,30,3,1.827342e+09
19,30,5,1.827342e+09
19,30,1,3.578037e+09
19,30,2,3.578037e+09
19,30,3,3.578037e+09
19,30,5,3.578037e+09
19,30,1,2.626828e+09
19,30,2,2.626828e+09
19,30,3,2.626828e+09
19,30,5,2.626828e+09
19,30,1,1.585032e+10
19,30,2,1.585032e+10
19,30,3,1.585032e+10
19,30,5,1.585032e+10
19,30,1,4.106128e+09
19,30,2,4.106128e+09
19,30,3,4.106128e+09
19,30,5,4.106128e+09
19,30,1,3.061202e+09
19,30,2,3.061202e+09
19,30,3,3.061202e+09
19,30,5,6.231851e+06
19,30,1,7.663810e+08
19,30,2,7.663810e+08
19,30,3,7.663810e+08
19,30,5,7.663810e+08
19,30,1,2.196531e+09
19,30,2,2.196531e+09
19,30,3,2.196531e+09
19,30,5,2.196531e+09
19,30,1,1.344647e+09
19,30,2,1.344647e+09
19,30,3,1.344647e+09
19,30,5,1.344647e+09
19,30,1,3.535508e+09
19,30,2,3.535508e+09
19,30,3,3.535508e+09
19,30,5,1.168248e+07
19,30,1,1.832002e+09
19,30,2,1.832002e+09
19,30,3,1.832002e+09
19,30,5,1.310345e+08
19,30,1,1.293277e+10
19,30,2,3.510697e+09
19,30,3,3.510697e+09
19,30,5,1.369868e+08
19,30,1,1.277842e+09
19,30,2,1.277842e+09
19,30,3,1.277842e+09
19,30,5,1.277842e+09
19,30,1,1.204676e+09
19,30,2,1.204676e+09
19,30,3,1.204676e+09
19,30,5,1.204676e+09
19,30,1,3.216917e+09
19,30,2,3.216917e+09
19,30,3,3.216917e+09
19,30,5,3.216917e+09
19,30,1,8.635713e+08
19,30,2,8.635713e+08
19,30,3,8.635713e+08
19,30,5,8.635713e+08
19,30,1,4.423911e+09
19,30,2,4.423911e+09
19,30,3,4.423911e+09
19,30,5,4.423911e+09
19,30,1,5.762867e+08
19,30,2,5.762867e+08
19,30,3,5.762867e+08
19,30,5,5.762867e+08
19,30,1,1.559181e+09
19,30,2,1.559181e+09
19,30,3,7.919858e+07
19,30,5,1.672256e+07
19,30,1,5.729436e+08
19,30,2,5.729436e+08
19,30,3,5.729436e+08
19,30,5,5.729436e+08
19,30,1,1.992246e+09
19,30,2,1.992246e+09
19,30,3,1.992246e+09
19,30,5,1.240652e+09
19,30,1,1.026155e+10
19,30,2,1.026155e+10
19,30,3,1.026155e+10
19,30,5,1.026155e+10
19,30,1,2.167531e+08
19,30,2,2.167531e+08
19,30,3,2.167531e+08
19,30,5,2.167531e+08
19,30,1,3.790638e+09
19,30,2,3.790638e+09
19,30,3,2.001321e+09
19,30,5,5.554563e+06
19,30,1,1.894162e+09
19,30,2,1.894162e+09
19,30,3,1.894162e+09
19,30,5,1.894162e+09
19,30,1,7.434867e+09
19,30,2,7.434867e+09
19,30,3,7.434867e+09
19,30,5,1.133655e+07
19,30,1,2.363577e+09
19,30,2,2.363577e+09
19,30,3,2.363577e+09
19,30,5,4.841264e+06
19,30,1,5.650549e+09
19,30,2,3.461852e+09
19,30,3,3.461852e+09
19,30,5,2.028532e+08
19,30,1,1.665869e+08
19,30,2,1.665869e+08
19,30,3,1.665869e+08
19,30,5,1.665869e+08
19,30,1,1.776008e+09
19,30,2,1.776008e+09
19,30,3,1.776008e+09
19,30,5,1.776008e+09
19,30,1,8.615730e+09
19,30,2,8.615730e+09
19,30,3,8.615730e+09
19,30,5,2.248991e+07
19,30,1,7.683031e+09
19,30,2,7.683031e+09
19,30,3,7.683031e+09
19,30,5,7.683031e+09
19,30,1,1.626134e+09
19,30,2,1.626134e+09
19,30,3,1.626134e+09
19,30,5,1.097920e+08
19,30,1,5.941166e+09
19,30,2,5.941166e+09
19,30,3,5.941166e+09
19,30,5,5.941166e+09
19,30,1,1.109622e+09
19,30,2,1.109622e+09
19,30,3,1.109622e+09
19,30,5,1.109622e+09
19,30,1,8.237623e+09
19,30,2,8.237623e+09
19,30,3,8.237623e+09
19,30,5,8.237623e+09
19,30,1,2.928317e+09
19,30,2,2.928317e+09
19,30,3,2.928317e+09
19,30,5,2.928317e+09
19,30,1,1.666727e+10
19,30,2,1.666727e+10
19,30,3,1.666727e+10
19,30,5,2.208674e+07
19,30,1,2.499534e+09
19,30,2,2.499534e+09
19,30,3,2.499534e+09
19,30,5,9.803822e+06
19,30,1,2.708820e+09
19,30,2,2.708820e+09
19,30,3,2.708820e+09
19,30,5,2.708820e+09
19,30,1,3.291988e+09
19,30,2,2.886504e+09
19,30,3,2.886504e+09
19,30,5,6.541423e+06
19,30,1,1.099727e+10
19,30,2,1.099727e+10
19,30,3,1.099727e+10
19,30,5,2.595247e+07
19,30,1,1.306390e+10
19,30,2,1.306390e+10
19,30,3,1.306390e+10
19,30,5,1.457556e+07
19,30,1,2.269056e+09
19,30,2,2.269056e+09
19,30,3,2.269056e+09
19,30,5,2.269056e+09
19,30,1,2.183918e+09
19,30,2,2.183918e+09
19,30,3,2.183918e+09
19,30,5,2.183918e+09
19,30,1,4.703765e+09
19,30,2,4.703765e+09
19,30,3,4.703765e+09
19,30,5,4.703765e+09
19,30,1,3.086602e+09
19,30,2,3.086602e+09
19,30,3,3.086602e+09
19,30,5,3.086602e+09
19,30,1,9.434991e+09
19,30,2,9.434991e+09
19,30,3,9.434991e+09
19,30,5,9.434991e+09
19,30,1,1.434405e+10
19,30,2,1.434405e+10
19,30,3,8.375612e+08
19,30,5,5.653987e+07
19,30,1,3.948786e+08
19,30,2,3.948786e+08
19,30,3,3.948786e+08
19,30,5,3.948786e+08
19,30,1,6.272503e+09
19,30,2,6.272503e+09
19,30,3,6.272503e+09
19,30,5,6.272503e+09
19,30,1,6.367942e+08
19,30,2,6.367942e+08
19,30,3,6.367942e+08
19,30,5,6.367942e+08
19,30,1,5.541532e+09
19,30,2,5.541532e+09
19,30,3,6.673323e+08
19,30,5,7.882902e+06
19,30,1,3.218989e+08
19,30,2,3.218989e+08
19,30,3,3.218989e+08
19,30,5,3.218989e+08
19,30,1,8.033581e+09
19,30,2,8.033581e+09
19,30,3,8.033581e+09
19,30,5,8.033581e+09
19,30,1,4.345622e+09
19,30,2,4.345622e+09
19,30,3,3.092430e+09
19,30,5,7.874815e+08
19,30,1,3.113536e+09
19,30,2,3.113536e+09
19,30,3,3.113536e+09
19,30,5,5.580084e+06
19,30,1,2.125285e+09
19,30,2,2.125285e+09
19,30,3,2.125285e+09
19,30,5,7.051001e+08
19,30,1,4.933442e+09
19,30,2,4.933442e+09
19,30,3,4.933442e+09
19,30,5,4.933442e+09
19,30,1,4.681142e+09
19,30,2,4.681142e+09
19,30,3,4.681142e+09
19,30,5,4.681142e+09
19,30,1,1.394615e+09
19,30,2,1.394615e+09
19,30,3,1.394615e+09
19,30,5,6.141195e+08
19,30,1,4.544114e+09
19,30,2,4.544114e+09
19,30,3,4.544114e+09
19,30,5,4.544114e+09
19,30,1,1.872229e+09
19,30,2,1.872229e+09
19,30,3,1.872229e+09
19,30,5,1.872229e+09
19,30,1,2.999561e+09
19,30,2,2.999561e+09
19,30,3,2.999561e+09
19,30,5,2.999561e+09
19,30,1,2.854246e+09
19,30,2,2.854246e+09
19,30,3,2.854246e+09
19,30,5,1.514228e+06
19,30,1,3.142490e+09
19,30,2,3.142490e+09
19,30,3,3.142490e+09
19,30,5,3.142490e+09
19,30,1,8.435338e+09
19,30,2,8.435338e+09
19,30,3,8.435338e+09
19,30,5,8.435338e+09
19,30,1,7.623295e+08
19,30,2,7.623295e+08
19,30,3,7.623295e+08
19,30,5,7.623295e+08
19,30,1,5.391207e+09
19,30,2,5.391207e+09
19,30,3,5.391207e+09
19,30,5,5.391207e+09
19,30,1,6.188460e+09
19,30,2,6.188460e+09
19,30,3,6.188460e+09
19,30,5,1.038374e+07
19,30,1,1.846753e+09
19,30,2,1.846753e+09
19,30,3,1.846753e+09
19,30,5,1.846753e+09
19,30,1,4.712772e+08
19,30,2,4.712772e+08
19,30,3,4.712772e+08
19,30,5,4.712772e+08
19,30,1,1.077244e+09
19,30,2,1.077244e+09
19,30,3,1.077244e+09
19,30,5,1.077244e+09
19,30,1,6.949178e+09
19,30,2,6.949178e+09
19,30,3,3.385844e+09
19,30,5,5.672665e+07
19,30,1,6.495015e+09
19,30,2,6.495015e+09
19,30,3,6.495015e+09
19,30,5,6.495015e+09
19,30,1,8.167934e+09
19,30,2,8.167934e+09
19,30,3,8.167934e+09
19,30,5,8.167934e+09
19,30,1,4.413391e+09
19,30,2,4.413391e+09
19,30,3,4.413391e+09
19,30,5,4.413391e+09
19,30,1,1.855725e+09
19,30,2,1.855725e+09
19,30,3,1.855725e+09
19,30,5,1.855725e+09
19,30,1,1.762304e+09
19,30,2,1.762304e+09
19,30,3,1.762304e+09
19,30,5,3.576014e+08
19,30,1,9.168417e+08
19,30,2,9.168417e+08
19,30,3,9.168417e+08
19,30,5,9.168417e+08
19,30,1,3.091277e+09
19,30,2,3.091277e+09
19,30,3,3.091277e+09
19,30,5,3.091277e+09
19,30,1,1.355649e+09
19,30,2,1.355649e+09
19,30,3,1.355649e+09
19,30,5,1.355649e+09
19,30,1,2.245457e+09
19,30,2,2.245457e+09
19,30,3,2.245457e+09
19,30,5,2.245457e+09
19,30,1,2.581189e+09
19,30,2,2.581189e+09
19,30,3,2.531262e+09
19,30,5,2.531262e+09
19,30,1,4.511046e+09
19,30,2,4.511046e+09
19,30,3,4.511046e+09
19,30,5,4.511046e+09
19,30,1,9.092728e+09
19,30,2,9.092728e+09
19,30,3,9.092728e+09
19,30,5,2.249394e+09
19,30,1,4.081801e+09
19,30,2,4.081801e+09
19,30,3,4.081801e+09
19,30,5,3.149079e+07
19,30,1,2.020195e+09
19,30,2,2.020195e+09
19,30,3,2.020195e+09
19,30,5,2.020195e+09
19,30,1,2.994641e+09
19,30,2,2.994641e+09
19,30,3,2.994641e+09
19,30,5,1.232056e+07
19,30,1,3.377920e+09
19,30,2,3.377920e+09
19,30,3,1.090882e+09
19,30,5,1.090882e+09
19,30,1,3.185200e+09
19,30,2,3.185200e+09
19,30,3,3.185200e+09
19,30,5,3.185200e+09
19,30,1,6.250297e+09
19,30,2,6.250297e+09
19,30,3,6.250297e+09
19,30,5,1.102555e+08
19,30,1,6.893344e+09
19,30,2,6.893344e+09
19,30,3,6.893344e+09
19,30,5,6.893344e+09
19,30,1,5.317790e+08
19,30,2,5.317790e+08
19,30,3,5.317790e+08
19,30,5,5.317790e+08
19,30,1,2.385737e+09
19,30,2,2.385737e+09
19,30,3,2.385737e+09
19,30,5,2.385737e+09
19,30,1,1.448602e+09
19,30,2,1.448602e+09
19,30,3,1.448602e+09
19,30,5,1.448602e+09
19,30,1,8.180387e+09
19,30,2,8.180387e+09
19,30,3,8.180387e+09
19,30,5,8.180387e+09
19,30,1,9.242220e+09
19,30,2,9.242220e+09
19,30,3,9.242220e+09
19,30,5,9.242220e+09
19,30,1,2.155826e+09
19,30,2,2.155826e+09
19,30,3,2.155826e+09
19,30,5,2.155826e+09
19,30,1,3.872226e+09
19,30,2,1.084572e+09
19,30,3,1.084572e+09
19,30,5,1.084572e+09
19,30,1,3.077110e+09
19,30,2,3.077110e+09
19,30,3,3.077110e+09
19,30,5,3.077110e+09
19,30,1,3.813838e+09
19,30,2,3.813838e+09
19,30,3,3.813838e+09
19,30,5,3.813838e+09
19,30,1,2.509990e+09
19,30,2,2.509990e+09
19,30,3,2.509990e+09
19,30,5,1.293515e+07
19,30,1,2.581574e+09
19,30,2,2.581574e+09
19,30,3,2.581574e+09
19,30,5,2.806050e+06
19,30,1,2.058163e+09
19,30,2,2.058163e+09
19,30,3,2.058163e+09
19,30,5,2.058163e+09
19,30,1,2.421775e+09
19,30,2,2.421775e+09
19,30,3,2.421775e+09
19,30,5,1.711708e+09
19,30,1,4.980193e+09
19,30,2,4.980193e+09
19,30,3,4.980193e+09
19,30,5,4.980193e+09
19,30,1,3.189960e+09
19,30,2,3.189960e+09
19,30,3,3.189960e+09
19,30,5,6.881485e+06
19,30,1,5.536048e+09
19,30,2,5.536048e+09
19,30,3,5.536048e+09
19,30,5,2.369992e+07
19,30,1,3.712169e+09
19,30,2,3.712169e+09
19,30,3,3.712169e+09
19,30,5,6.185643e+08
19,30,1,4.699404e+08
19,30,2,4.699404e+08
19,30,3,4.699404e+08
19,30,5,4.699404e+08
19,30,1,5.767506e+08
19,30,2,5.767506e+08
19,30,3,5.767506e+08
19,30,5,5.767506e+08
19,30,1,5.632987e+09
19,30,2,5.632987e+09
19,30,3,2.093515e+09
19,30,5,5.828707e+05
19,30,1,2.096864e+09
19,30,2,2.096864e+09
19,30,3,2.096864e+09
19,30,5,2.096864e+09
19,30,1,3.435026e+09
19,30,2,3.435026e+09
19,30,3,3.435026e+09
19,30,5,3.435026e+09
19,30,1,1.378289e+09
19,30,2,1.378289e+09
19,30,3,1.378289e+09
19,30,5,1.378289e+09
19,30,1,2.153304e+10
19,30,2,1.970636e+09
19,30,3,5.062958e+08
19,30,5,9.048480e+07
19,30,1,2.949304e+09
19,30,2,2.949304e+09
19,30,3,2.949304e+09
19,30,5,2.949304e+09
19,30,1,5.108231e+09
19,30,2,5.108231e+09
19,30,3,5.108231e+09
19,30,5,5.108231e+09
19,30,1,1.365130e+09
19,30,2,1.365130e+09
19,30,3,1.365130e+09
19,30,5,1.365130e+09
19,30,1,2.747717e+08
19,30,2,2.747717e+08
19,30,3,2.747717e+08
19,30,5,2.747717e+08
19,30,1,6.006318e+09
19,30,2,6.006318e+09
19,30,3,6.006318e+09
19,30,5,6.006318e+09
19,30,1,6.182996e+09
19,30,2,3.706185e+09
19,30,3,3.474105e+09
19,30,5,3.962531e+07
19,30,1,4.646176e+09
19,30,2,4.646176e+09
19,30,3,3.703031e+09
19,30,5,3.703031e+09
19,30,1,2.685084e+09
19,30,2,2.685084e+09
19,30,3,2.685084e+09
19,30,5,2.685084e+09
19,30,1,2.016002e+08
19,30,2,2.016002e+08
19,30,3,2.016002e+08
19,30,5,2.016002e+08
19,30,1,2.600732e+09
19,30,2,2.600732e+09
19,30,3,2.600732e+09
19,30,5,2.600732e+09
19,30,1,1.121112e+09
19,30,2,1.121112e+09
19,30,3,1.121112e+09
19,30,5,1.985532e+07
19,30,1,5.164758e+08
19,30,2,5.164758e+08
19,30,3,5.164758e+08
19,30,5,5.164758e+08
19,30,1,1.009175e+09
19,30,2,1.009175e+09
19,30,3,1.009175e+09
19,30,5,1.009175e+09
19,30,1,1.439045e+09
19,30,2,1.439045e+09
19,30,3,1.439045e+09
19,30,5,2.180276e+07
19,30,1,1.980093e+09
19,30,2,1.980093e+09
19,30,3,1.980093e+09
19,30,5,1.980093e+09
19,30,1,4.161885e+09
19,30,2,4.161885e+09
19,30,3,4.161885e+09
19,30,5,4.161885e+09
19,30,1,2.270518e+09
19,30,2,2.270518e+09
19,30,3,2.270518e+09
19,30,5,2.270518e+09
19,30,1,8.913082e+09
19,30,2,8.913082e+09
19,30,3,8.913082e+09
19,30,5,8.913082e+09
19,30,1,4.847369e+09
19,30,2,4.847369e+09
19,30,3,4.847369e+09
19,30,5,4.847369e+09
19,30,1,1.299284e+10
19,30,2,1.299284e+10
19,30,3,1.299284e+10
19,30,5,2.141959e+08
19,30,1,1.032469e+09
19,30,2,1.032469e+09
19,30,3,1.032469e+09
19,30,5,1.634147e+07
19,30,1,4.089311e+09
19,30,2,4.089311e+09
19,30,3,4.089311e+09
19,30,5,9.565014e+07
19,30,1,6.703307e+09
19,30,2,6.703307e+09
19,30,3,6.703307e+09
19,30,5,6.703307e+09
19,30,1,7.316494e+09
19,30,2,7.316494e+09
19,30,3,7.316494e+09
19,30,5,7.316494e+09
19,30,1,3.835336e+08
19,30,2,3.835336e+08
19,30,3,3.835336e+08
19,30,5,3.835336e+08
19,30,1,9.059439e+09
19,30,2,9.059439e+09
19,30,3,9.059439e+09
19,30,5,9.059439e+09
19,30,1,2.809265e+09
19,30,2,2.809265e+09
