funcid,dim,milestone,error
11,30,1,5.463016e+04
11,30,2,5.463016e+04
11,30,3,5.463016e+04
11,30,5,5.463016e+04
11,30,1,4.889120e+04
11,30,2,4.889120e+04
11,30,3,4.889120e+04
11,30,5,4.889120e+04
11,30,1,3.134086e+04
11,30,2,1.479454e+04
11,30,3,1.479454e+04
11,30,5,9.520049e+03
11,30,1,1.639693e+04
11,30,2,1.639693e+04
11,30,3,1.639693e+04
11,30,5,1.639693e+04
11,30,1,3.335980e+04
11,30,2,3.335980e+04
11,30,3,3.335980e+04
11,30,5,3.335980e+04
11,30,1,5.085673e+04
11,30,2,5.085673e+04
11,30,3,5.085673e+04
11,30,5,5.085673e+04
11,30,1,2.655016e+04
11,30,2,2.655016e+04
11,30,3,2.655016e+04
11,30,5,2.655016e+04
11,30,1,3.323007e+04
11,30,2,3.323007e+04
11,30,3,3.323007e+04
11,30,5,3.323007e+04
11,30,1,4.020057e+04
11,30,2,4.020057e+04
11,30,3,4.020057e+04
11,30,5,4.020057e+04
11,30,1,5.723897e+04
11,30,2,5.723897e+04
11,30,3,5.723897e+04
11,30,5,9.314745e+03
11,30,1,2.104521e+04
11,30,2,2.104521e+04
11,30,3,2.104521e+04
11,30,5,2.104521e+04
11,30,1,3.584763e+04
11,30,2,3.584763e+04
11,30,3,3.584763e+04
11,30,5,3.584763e+04
11,30,1,4.690477e+04
11,30,2,4.690477e+04
11,30,3,4.690477e+04
11,30,5,4.690477e+04
11,30,1,1.294607e+04
11,30,2,1.294607e+04
11,30,3,1.294607e+04
11,30,5,1.294607e+04
11,30,1,1.694816e+04
11,30,2,1.694816e+04
11,30,3,1.694816e+04
11,30,5,1.694816e+04
11,30,1,2.871941e+04
11,30,2,2.871941e+04
11,30,3,2.871941e+04
11,30,5,2.871941e+04
11,30,1,2.954250e+04
11,30,2,2.954250e+04
11,30,3,2.954250e+04
11,30,5,2.954250e+04
11,30,1,1.551555e+04
11,30,2,1.551555e+04
11,30,3,1.551555e+04
