funcid,dim,milestone,error
13,30,1,2.136060e+10
13,30,2,2.136060e+10
13,30,3,2.136060e+10
13,30,5,2.136060e+10
13,30,1,8.238696e+09
13,30,2,8.238696e+09
13,30,3,8.238696e+09
13,30,5,8.238696e+09
13,30,1,2.152007e+10
13,30,2,1.912753e+10
13,30,3,1.912753e+10
13,30,5,1.912753e+10
13,30,1,2.213883e+10
13,30,2,2.213883e+10
13,30,3,2.213883e+10
13,30,5,2.213883e+10
13,30,1,3.038128e+10
13,30,2,3.038128e+10
13,30,3,3.038128e+10
13,30,5,3.038128e+10
13,30,1,1.978372e+10
13,30,2,1.978372e+10
13,30,3,1.978372e+10
13,30,5,1.978372e+10
13,30,1,1.644440e+10
13,30,2,1.644440e+10
13,30,3,1.644440e+10
13,30,5,1.644440e+10
13,30,1,1.732588e+10
13,30,2,1.732588e+10
13,30,3,1.732588e+10
13,30,5,1.732588e+10
13,30,1,2.852623e+10
13,30,2,2.852623e+10
13,30,3,2.852623e+10
13,30,5,2.852623e+10
13,30,1,2.274206e+10
13,30,2,2.274206e+10
13,30,3,2.274206e+10
13,30,5,2.274206e+10
13,30,1,2.146892e+10
13,30,2,2.146892e+10
13,30,3,2.146892e+10
13,30,5,2.146892e+10
13,30,1,1.322950e+10
13,30,2,1.322950e+10
13,30,3,1.322950e+10
13,30,5,1.322950e+10
13,30,1,1.323194e+10
13,30,2,1.323194e+10
13,30,3,1.323194e+10
13,30,5,1.323194e+10
13,30,1,1.276234e+10
13,30,2,1.276234e+10
13,30,3,1.276234e+10
13,30,5,1.276234e+10
13,30,1,3.270085e+10
13,30,2,3.270085e+10
13,30,3,3.270085e+10
13,30,5,3.270085e+10
13,30,1,2.603322e+10
13,30,2,2.603322e+10
13,30,3,2.603322e+10
13,30,5,2.603322e+10
13,30,1,6.038787e+10
13,30,2,6.038787e+10
13,30,3,6.038787e+10
13,30,5,6.038787e+10
13,30,1,1.714417e+10
13,30,2,1.714417e+10
13,30,3,1.714417e+10
13,30,5,1.714417e+10
13,30,1,2.512333e+09
13,30,2,2.512333e+09
13,30,3,2.512333e+09
13,30,5,2.512333e+09
13,30,1,2.232579e+10
13,30,2,2.232579e+10
13,30,3,2.232579e+10
13,30,5,2.232579e+10
13,30,1,3.701910e+10
13,30,2,3.701910e+10
13,30,3,3.701910e+10
13,30,5,3.701910e+10
13,30,1,3.414552e+10
13,30,2,3.414552e+10
13,30,3,3.414552e+10
13,30,5,3.414552e+10
13,30,1,9.968234e+09
13,30,2,9.968234e+09
13,30,3,9.968234e+09
13,30,5,9.968234e+09
13,30,1,1.624559e+10
13,30,2,1.624559e+10
13,30,3,1.624559e+10
13,30,5,1.624559e+10
13,30,1,2.561589e+10
13,30,2,2.561589e+10
13,30,3,2.561589e+10
13,30,5,2.561589e+10
13,30,1,2.673297e+10
13,30,2,2.673297e+10
13,30,3,2.673297e+10
13,30,5,2.673297e+10
13,30,1,3.185911e+10
13,30,2,3.185911e+10
13,30,3,3.185911e+10
13,30,5,3.185911e+10
13,30,1,2.754756e+10
13,30,2,2.754756e+10
13,30,3,2.754756e+10
13,30,5,2.754756e+10
13,30,1,2.187792e+10
13,30,2,2.187792e+10
13,30,3,2.187792e+10
13,30,5,2.187792e+10
13,30,1,1.095330e+10
13,30,2,1.095330e+10
13,30,3,1.095330e+10
13,30,5,1.095330e+10
13,30,1,3.132457e+10
13,30,2,3.132457e+10
