funcid,dim,milestone,error
6,30,1,1.378017e+02
6,30,2,1.378017e+02
6,30,3,1.378017e+02
6,30,5,1.378017e+02
6,30,1,1.703953e+02
6,30,2,1.703953e+02
6,30,3,1.703953e+02
6,30,5,1.703953e+02
6,30,1,1.174180e+02
6,30,2,1.174180e+02
6,30,3,1.174180e+02
6,30,5,1.174180e+02
6,30,1,1.247965e+02
6,30,2,1.247965e+02
6,30,3,1.247965e+02
6,30,5,1.247965e+02
6,30,1,1.128273e+02
6,30,2,1.128273e+02
6,30,3,1.128273e+02
6,30,5,1.128273e+02
6,30,1,1.266139e+02
6,30,2,1.266139e+02
6,30,3,1.266139e+02
6,30,5,1.266139e+02
6,30,1,1.404955e+02
6,30,2,1.404955e+02
6,30,3,1.404955e+02
6,30,5,1.404955e+02
6,30,1,1.106821e+02
6,30,2,1.106821e+02
6,30,3,1.106821e+02
6,30,5,1.106821e+02
6,30,1,1.041776e+02
6,30,2,1.041776e+02
6,30,3,1.041776e+02
6,30,5,1.029329e+02
6,30,1,1.338839e+02
6,30,2,1.338839e+02
6,30,3,1.338839e+02
6,30,5,1.338839e+02
6,30,1,1.243678e+02
6,30,2,1.243678e+02
6,30,3,1.243678e+02
6,30,5,1.243678e+02
6,30,1,1.091508e+02
6,30,2,1.091508e+02
6,30,3,1.091508e+02
6,30,5,1.091508e+02
6,30,1,1.040750e+02
6,30,2,1.040750e+02
6,30,3,1.040750e+02
6,30,5,1.040750e+02
6,30,1,1.150573e+02
6,30,2,1.034899e+02
6,30,3,1.034899e+02
6,30,5,9.305172e+01
6,30,1,1.317045e+02
6,30,2,1.008360e+02
6,30,3,1.008360e+02
6,30,5,1.008360e+02
6,30,1,1.082866e+02
6,30,2,1.082866e+02
6,30,3,1.082866e+02
6,30,5,1.082866e+02
6,30,1,1.390029e+02
6,30,2,1.203213e+02
6,30,3,1.203213e+02
6,30,5,1.032969e+02
6,30,1,1.041199e+02
6,30,2,1.041199e+02
6,30,3,1.041199e+02
6,30,5,1.041199e+02
6,30,1,1.560466e+02
6,30,2,1.560466e+02
6,30,3,1.560466e+02
6,30,5,1.560466e+02
6,30,1,1.589275e+02
6,30,2,1.589275e+02
6,30,3,1.589275e+02
6,30,5,1.589275e+02
6,30,1,1.396456e+02
6,30,2,1.396456e+02
6,30,3,1.396456e+02
6,30,5,1.396456e+02
6,30,1,1.407468e+02
6,30,2,1.407468e+02
6,30,3,1.407468e+02
6,30,5,1.407468e+02
6,30,1,1.414615e+02
6,30,2,1.414615e+02
6,30,3,1.414615e+02
6,30,5,1.414615e+02
6,30,1,1.497069e+02
6,30,2,1.301179e+02
6,30,3,1.301179e+02
6,30,5,1.301179e+02
6,30,1,1.372668e+02
6,30,2,1.372668e+02
6,30,3,1.372668e+02
6,30,5,1.372668e+02
6,30,1,1.062222e+02
6,30,2,1.062222e+02
6,30,3,1.062222e+02
6,30,5,9.825933e+01
6,30,1,8.398244e+01
6,30,2,8.398244e+01
6,30,3,8.398244e+01
6,30,5,8.398244e+01
6,30,1,1.294183e+02
6,30,2,1.291000e+02
6,30,3,1.291000e+02
6,30,5,9.867480e+01
6,30,1,1.155431e+02
6,30,2,1.155431e+02
6,30,3,1.155431e+02
6,30,5,1.155431e+02
6,30,1,1.506833e+02
6,30,2,1.506833e+02
6,30,3,1.506833e+02
6,30,5,1.506833e+02
6,30,1,1.415330e+02
6,30,2,1.415330e+02
6,30,3,1.415330e+02
6,30,5,1.415330e+02
6,30,1,8.365732e+01
6,30,2,8.365732e+01
6,30,3,8.365732e+01
6,30,5,8.365732e+01
6,30,1,1.092748e+02
6,30,2,1.092748e+02
6,30,3,1.092748e+02
6,30,5,1.092748e+02
6,30,1,1.239012e+02
6,30,2,1.209259e+02
6,30,3,1.209259e+02
6,30,5,1.209259e+02
6,30,1,1.310959e+02
6,30,2,1.310959e+02
6,30,3,1.310959e+02
6,30,5,1.310959e+02
6,30,1,1.649723e+02
6,30,2,1.649723e+02
6,30,3,1.649723e+02
6,30,5,1.649723e+02
