funcid,dim,milestone,error
22,30,1,9.332399e+03
22,30,2,9.332399e+03
22,30,3,9.332399e+03
22,30,5,9.332399e+03
22,30,10,9.332399e+03
22,30,20,9.332399e+03
22,30,30,9.332399e+03
22,30,40,9.332399e+03
22,30,50,8.793193e+03
22,30,1,5.805418e+03
22,30,2,5.271170e+03
22,30,3,4.742098e+03
22,30,5,4.650736e+03
22,30,10,4.650736e+03
22,30,20,4.650736e+03
22,30,30,4.650736e+03
22,30,40,4.650736e+03
22,30,50,4.650736e+03
22,30,1,7.888470e+03
22,30,2,7.888470e+03
22,30,3,7.888470e+03
22,30,5,7.888470e+03
22,30,10,7.888470e+03
22,30,20,7.888470e+03
22,30,30,7.888470e+03
22,30,40,7.888470e+03
22,30,50,5.734370e+03
22,30,1,1.024202e+04
22,30,2,1.000142e+04
22,30,3,1.000142e+04
22,30,5,1.000142e+04
22,30,10,1.000142e+04
22,30,20,1.000142e+04
22,30,30,1.000142e+04
22,30,40,7.042192e+03
22,30,50,6.239142e+03
22,30,1,1.018133e+04
22,30,2,1.018133e+04
22,30,3,9.912705e+03
22,30,5,9.719807e+03
22,30,10,9.719807e+03
22,30,20,9.719807e+03
22,30,30,9.719807e+03
22,30,40,9.719807e+03
22,30,50,9.719807e+03
22,30,1,8.312516e+03
22,30,2,8.312516e+03
22,30,3,8.312516e+03
22,30,5,8.312516e+03
22,30,10,8.312516e+03
22,30,20,8.312516e+03
22,30,30,8.312516e+03
22,30,40,8.312516e+03
22,30,50,8.312516e+03
22,30,1,9.071678e+03
22,30,2,9.071678e+03
22,30,3,7.523587e+03
22,30,5,7.523587e+03
22,30,10,7.523587e+03
22,30,20,7.523587e+03
22,30,30,7.523587e+03
22,30,40,7.523587e+03
22,30,50,6.039015e+03
22,30,1,9.902769e+03
22,30,2,9.902769e+03
22,30,3,9.902769e+03
22,30,5,9.902769e+03
22,30,10,9.902769e+03
22,30,20,9.902769e+03
22,30,30,9.902769e+03
22,30,40,6.243065e+03
22,30,50,5.624216e+03
22,30,1,9.247511e+03
22,30,2,9.247511e+03
22,30,3,9.247511e+03
22,30,5,9.247511e+03
22,30,10,9.247511e+03
22,30,20,9.247511e+03
22,30,30,9.247511e+03
22,30,40,9.247511e+03
22,30,50,9.247511e+03
22,30,1,1.035523e+04
22,30,2,1.035523e+04
22,30,3,1.035523e+04
22,30,5,1.035523e+04
22,30,10,1.035523e+04
22,30,20,1.035523e+04
22,30,30,1.035523e+04
22,30,40,9.244843e+03
22,30,50,7.355261e+03
22,30,1,9.319824e+03
22,30,2,7.795233e+03
22,30,3,7.795233e+03
22,30,5,7.795233e+03
22,30,10,7.795233e+03
22,30,20,7.795233e+03
22,30,30,7.795233e+03
22,30,40,7.795233e+03
22,30,50,7.317273e+03
22,30,1,9.118657e+03
22,30,2,9.118657e+03
22,30,3,9.118657e+03
22,30,5,9.118657e+03
22,30,10,9.118657e+03
22,30,20,9.118657e+03
22,30,30,9.118657e+03
22,30,40,9.118657e+03
22,30,50,9.118657e+03
22,30,1,9.787951e+03
22,30,2,9.787951e+03
22,30,3,9.787951e+03
22,30,5,9.052895e+03
22,30,10,9.052895e+03
22,30,20,9.052895e+03
22,30,30,9.052895e+03
22,30,40,6.554148e+03
22,30,50,6.027844e+03
22,30,1,9.996489e+03
22,30,2,9.996489e+03
22,30,3,9.996489e+03
22,30,5,9.996489e+03
22,30,10,9.996489e+03
22,30,20,9.996489e+03
22,30,30,9.996489e+03
22,30,40,9.996489e+03
22,30,50,7.252224e+03
22,30,1,9.719620e+03
22,30,2,9.719620e+03
22,30,3,9.719620e+03
22,30,5,9.719620e+03
22,30,10,9.719620e+03
22,30,20,8.685401e+03
22,30,30,8.453551e+03
22,30,40,6.116512e+03
22,30,50,5.550731e+03
22,30,1,8.667498e+03
22,30,2,8.667498e+03
22,30,3,8.667498e+03
22,30,5,8.667498e+03
22,30,10,8.667498e+03
22,30,20,8.667498e+03
22,30,30,8.667498e+03
22,30,40,8.667498e+03
22,30,50,6.450764e+03
22,30,1,9.898693e+03
22,30,2,9.898693e+03
22,30,3,9.898693e+03
22,30,5,9.898693e+03
22,30,10,9.898693e+03
22,30,20,9.898693e+03
22,30,30,9.898693e+03
22,30,40,9.898693e+03
22,30,50,9.898693e+03
22,30,1,9.492524e+03
22,30,2,9.492524e+03
22,30,3,9.422686e+03
22,30,5,9.192862e+03
22,30,10,9.192862e+03
22,30,20,9.192862e+03
22,30,30,9.192862e+03
22,30,40,9.192862e+03
22,30,50,6.889804e+03
22,30,1,7.708080e+03
22,30,2,7.498850e+03
22,30,3,7.498850e+03
22,30,5,7.498850e+03
22,30,10,7.498850e+03
22,30,20,7.498850e+03
22,30,30,7.498850e+03
22,30,40,7.498850e+03
22,30,50,7.498850e+03
22,30,1,1.050419e+04
22,30,2,1.050419e+04
22,30,3,1.050419e+04
22,30,5,1.050419e+04
22,30,10,1.050419e+04
22,30,20,9.055594e+03
22,30,30,8.702266e+03
22,30,40,8.702266e+03
22,30,50,6.146970e+03
22,30,1,8.047065e+03
22,30,2,8.047065e+03
22,30,3,8.047065e+03
22,30,5,8.047065e+03
22,30,10,8.047065e+03
22,30,20,8.047065e+03
22,30,30,8.047065e+03
22,30,40,8.047065e+03
22,30,50,5.136177e+03
22,30,1,9.097552e+03
22,30,2,9.097552e+03
22,30,3,9.097552e+03
22,30,5,9.097552e+03
22,30,10,9.097552e+03
22,30,20,9.097552e+03
22,30,30,9.097552e+03
22,30,40,9.097552e+03
22,30,50,9.097552e+03
22,30,1,8.775081e+03
22,30,2,8.767091e+03
22,30,3,8.767091e+03
22,30,5,8.767091e+03
22,30,10,8.767091e+03
22,30,20,8.767091e+03
22,30,30,8.767091e+03
22,30,40,8.767091e+03
22,30,50,6.340983e+03
22,30,1,9.853908e+03
22,30,2,9.507278e+03
22,30,3,9.507278e+03
22,30,5,9.190362e+03
22,30,10,9.190362e+03
22,30,20,8.710322e+03
22,30,30,8.710322e+03
22,30,40,8.710322e+03
22,30,50,7.368145e+03
22,30,1,9.224140e+03
22,30,2,9.224140e+03
22,30,3,9.224140e+03
22,30,5,9.224140e+03
22,30,10,9.224140e+03
22,30,20,9.224140e+03
22,30,30,9.224140e+03
22,30,40,9.224140e+03
22,30,50,9.224140e+03
22,30,1,9.832866e+03
22,30,2,9.832866e+03
22,30,3,9.832866e+03
22,30,5,9.832866e+03
22,30,10,9.429584e+03
22,30,20,9.429584e+03
22,30,30,9.429584e+03
22,30,40,9.429584e+03
22,30,50,9.429584e+03
22,30,1,9.258126e+03
22,30,2,9.258126e+03
22,30,3,9.258126e+03
22,30,5,8.928800e+03
22,30,10,8.928800e+03
22,30,20,8.928800e+03
22,30,30,8.928800e+03
22,30,40,8.928800e+03
22,30,50,8.928800e+03
22,30,1,9.568286e+03
22,30,2,9.066796e+03
22,30,3,8.728420e+03
22,30,5,8.728420e+03
22,30,10,8.728420e+03
22,30,20,8.728420e+03
22,30,30,8.268214e+03
22,30,40,8.268214e+03
22,30,50,6.909147e+03
22,30,1,8.529189e+03
22,30,2,8.529189e+03
22,30,3,8.529189e+03
22,30,5,8.529189e+03
22,30,10,8.529189e+03
22,30,20,8.529189e+03
22,30,30,8.529189e+03
22,30,40,8.529189e+03
22,30,50,8.529189e+03
22,30,1,1.024581e+04
22,30,2,1.024581e+04
22,30,3,1.024581e+04
22,30,5,1.024581e+04
22,30,10,1.024581e+04
22,30,20,1.024581e+04
22,30,30,1.024581e+04
22,30,40,1.024581e+04
22,30,50,1.024581e+04
22,30,1,8.446294e+03
22,30,2,8.446294e+03
22,30,3,8.446294e+03
22,30,5,8.446294e+03
22,30,10,8.446294e+03
22,30,20,8.446294e+03
22,30,30,8.446294e+03
22,30,40,8.446294e+03
22,30,50,8.446294e+03
22,30,1,9.564899e+03
22,30,2,9.267983e+03
22,30,3,9.267983e+03
22,30,5,9.176583e+03
22,30,10,6.749612e+03
22,30,20,6.749612e+03
22,30,30,6.749612e+03
22,30,40,6.749612e+03
22,30,50,5.878795e+03
22,30,1,9.023588e+03
22,30,2,9.023588e+03
22,30,3,9.023588e+03
22,30,5,9.023588e+03
22,30,10,9.023588e+03
22,30,20,9.023588e+03
22,30,30,9.023588e+03
22,30,40,9.023588e+03
22,30,50,9.023588e+03
22,30,1,9.727357e+03
22,30,2,9.727357e+03
22,30,3,9.727357e+03
22,30,5,9.691323e+03
22,30,10,9.691323e+03
22,30,20,9.372088e+03
22,30,30,9.372088e+03
22,30,40,6.702578e+03
22,30,50,6.283561e+03
22,30,1,9.230301e+03
22,30,2,9.230301e+03
22,30,3,9.230301e+03
22,30,5,9.230301e+03
22,30,10,9.230301e+03
22,30,20,9.230301e+03
22,30,30,9.230301e+03
22,30,40,9.230301e+03
22,30,50,6.383572e+03
22,30,1,8.607928e+03
22,30,2,8.607928e+03
