funcid,dim,milestone,error
4,30,1,1.233713e+04
4,30,2,1.233713e+04
4,30,3,1.233713e+04
4,30,5,1.233713e+04
4,30,10,1.233713e+04
4,30,20,1.233713e+04
4,30,30,1.233713e+04
4,30,40,1.233713e+04
4,30,50,1.233713e+04
4,30,1,6.063180e+04
4,30,2,2.674246e+04
4,30,3,2.498490e+04
4,30,5,2.498490e+04
4,30,10,2.382787e+04
4,30,20,2.382787e+04
4,30,30,1.559417e+04
4,30,40,5.022491e+03
4,30,50,5.022491e+03
4,30,1,1.945571e+04
4,30,2,1.945571e+04
4,30,3,1.836665e+04
4,30,5,1.836665e+04
4,30,10,1.503600e+04
4,30,20,1.503600e+04
4,30,30,1.503600e+04
4,30,40,1.503600e+04
4,30,50,1.503600e+04
4,30,1,5.363910e+04
4,30,2,5.363910e+04
4,30,3,3.667175e+04
4,30,5,3.667175e+04
4,30,10,3.667175e+04
4,30,20,3.667175e+04
4,30,30,3.667175e+04
4,30,40,3.667175e+04
4,30,50,3.667175e+04
4,30,1,1.870574e+04
4,30,2,1.870574e+04
4,30,3,1.870574e+04
4,30,5,1.870574e+04
4,30,10,1.870574e+04
4,30,20,1.870574e+04
4,30,30,1.870574e+04
4,30,40,1.870574e+04
4,30,50,9.156854e+03
4,30,1,4.571691e+04
4,30,2,2.902606e+04
4,30,3,2.902606e+04
4,30,5,2.902606e+04
4,30,10,2.740863e+04
4,30,20,1.969120e+04
4,30,30,1.969120e+04
4,30,40,1.969120e+04
4,30,50,2.674090e+03
4,30,1,6.070688e+04
4,30,2,6.070688e+04
4,30,3,6.070688e+04
4,30,5,6.070688e+04
4,30,10,6.070688e+04
4,30,20,6.070688e+04
4,30,30,6.070688e+04
4,30,40,6.070688e+04
4,30,50,6.070688e+04
4,30,1,6.647476e+04
4,30,2,6.647476e+04
4,30,3,6.647476e+04
4,30,5,2.597962e+04
4,30,10,2.597962e+04
4,30,20,2.597962e+04
4,30,30,2.597962e+04
4,30,40,2.597962e+04
4,30,50,2.597962e+04
4,30,1,1.915787e+04
4,30,2,1.915787e+04
4,30,3,1.915787e+04
4,30,5,1.915787e+04
4,30,10,1.915787e+04
4,30,20,1.915787e+04
4,30,30,1.915787e+04
4,30,40,1.915787e+04
4,30,50,1.915787e+04
4,30,1,1.385920e+04
4,30,2,1.385920e+04
4,30,3,1.385920e+04
4,30,5,1.385920e+04
4,30,10,1.385920e+04
4,30,20,1.385920e+04
4,30,30,1.385920e+04
4,30,40,1.385920e+04
4,30,50,3.619719e+03
4,30,1,4.821291e+04
4,30,2,4.821291e+04
4,30,3,4.821291e+04
4,30,5,4.821291e+04
4,30,10,4.821291e+04
4,30,20,4.821291e+04
4,30,30,8.148589e+03
4,30,40,8.148589e+03
4,30,50,4.393849e+03
4,30,1,1.773748e+04
4,30,2,1.290596e+04
4,30,3,1.290596e+04
4,30,5,1.290596e+04
4,30,10,1.290596e+04
4,30,20,1.290596e+04
4,30,30,1.290596e+04
4,30,40,1.290596e+04
4,30,50,1.290596e+04
4,30,1,1.873913e+04
4,30,2,1.873913e+04
4,30,3,1.873913e+04
4,30,5,1.873913e+04
4,30,10,1.873913e+04
4,30,20,1.873913e+04
4,30,30,1.873913e+04
4,30,40,1.873913e+04
4,30,50,3.217412e+03
4,30,1,4.757409e+04
4,30,2,4.757409e+04
4,30,3,2.601038e+04
4,30,5,1.299037e+04
4,30,10,1.299037e+04
4,30,20,1.299037e+04
4,30,30,1.299037e+04
4,30,40,1.299037e+04
4,30,50,1.299037e+04
4,30,1,4.741077e+04
4,30,2,4.741077e+04
4,30,3,2.964281e+04
4,30,5,2.964281e+04
4,30,10,2.916505e+04
4,30,20,2.916505e+04
4,30,30,2.916505e+04
4,30,40,5.805067e+03
4,30,50,5.509105e+02
4,30,1,3.282142e+04
4,30,2,2.549196e+04
4,30,3,2.549196e+04
4,30,5,2.549196e+04
4,30,10,2.549196e+04
4,30,20,2.549196e+04
4,30,30,2.549196e+04
4,30,40,2.549196e+04
4,30,50,2.549196e+04
4,30,1,5.280301e+04
4,30,2,5.280301e+04
4,30,3,5.280301e+04
4,30,5,5.280301e+04
4,30,10,5.280301e+04
4,30,20,5.280301e+04
4,30,30,5.280301e+04
4,30,40,6.735631e+03
4,30,50,6.421020e+02
4,30,1,3.463510e+04
4,30,2,2.184948e+04
4,30,3,2.184948e+04
4,30,5,2.184948e+04
4,30,10,2.184948e+04
4,30,20,2.184948e+04
4,30,30,2.184948e+04
4,30,40,1.413390e+04
4,30,50,1.265485e+03
4,30,1,1.988613e+04
4,30,2,1.413093e+04
4,30,3,1.413093e+04
4,30,5,1.413093e+04
4,30,10,1.413093e+04
4,30,20,1.413093e+04
4,30,30,1.413093e+04
4,30,40,1.413093e+04
4,30,50,1.413093e+04
4,30,1,4.460235e+04
4,30,2,4.460235e+04
4,30,3,4.460235e+04
4,30,5,4.460235e+04
4,30,10,4.460235e+04
4,30,20,4.460235e+04
4,30,30,4.460235e+04
4,30,40,4.460235e+04
4,30,50,4.460235e+04
4,30,1,1.382647e+04
4,30,2,1.382647e+04
4,30,3,1.382647e+04
4,30,5,1.382647e+04
4,30,10,1.382647e+04
4,30,20,1.382647e+04
4,30,30,1.382647e+04
4,30,40,1.382647e+04
4,30,50,1.382647e+04
4,30,1,4.175952e+04
4,30,2,4.175952e+04
4,30,3,4.175952e+04
4,30,5,4.175952e+04
4,30,10,4.175952e+04
4,30,20,4.175952e+04
4,30,30,2.224601e+04
4,30,40,4.776515e+03
4,30,50,7.596290e+02
4,30,1,2.863128e+04
4,30,2,2.407781e+04
4,30,3,2.407781e+04
4,30,5,2.407781e+04
4,30,10,2.407781e+04
4,30,20,2.407781e+04
4,30,30,2.088797e+04
4,30,40,1.580352e+04
4,30,50,1.761840e+03
4,30,1,3.391495e+04
4,30,2,3.391495e+04
4,30,3,3.391495e+04
4,30,5,2.403195e+04
4,30,10,2.403195e+04
4,30,20,2.403195e+04
4,30,30,2.403195e+04
4,30,40,5.366075e+03
4,30,50,5.380490e+02
4,30,1,5.292850e+04
4,30,2,2.230384e+04
4,30,3,2.230384e+04
4,30,5,2.230384e+04
4,30,10,2.230384e+04
4,30,20,2.230384e+04
4,30,30,2.230384e+04
4,30,40,2.230384e+04
4,30,50,2.230384e+04
4,30,1,4.102703e+04
4,30,2,2.351240e+04
4,30,3,1.603091e+04
4,30,5,1.297889e+04
4,30,10,1.293591e+04
4,30,20,1.293591e+04
4,30,30,1.293591e+04
4,30,40,1.293591e+04
4,30,50,5.195687e+03
4,30,1,2.563462e+04
4,30,2,2.359898e+04
4,30,3,2.359898e+04
4,30,5,2.359898e+04
4,30,10,2.359898e+04
4,30,20,2.359898e+04
4,30,30,2.359898e+04
4,30,40,2.359898e+04
4,30,50,2.359898e+04
4,30,1,1.986000e+04
4,30,2,1.802974e+04
4,30,3,1.802974e+04
4,30,5,1.802974e+04
4,30,10,1.802974e+04
4,30,20,1.802974e+04
4,30,30,1.802974e+04
4,30,40,1.802974e+04
4,30,50,4.953572e+03
4,30,1,2.251331e+04
4,30,2,2.251331e+04
4,30,3,2.251331e+04
4,30,5,2.251331e+04
4,30,10,2.251331e+04
4,30,20,2.251331e+04
4,30,30,2.251331e+04
4,30,40,2.251331e+04
4,30,50,2.179550e+03
4,30,1,2.313728e+04
4,30,2,2.306240e+04
4,30,3,2.253205e+04
4,30,5,2.012748e+04
4,30,10,2.012748e+04
4,30,20,2.012748e+04
4,30,30,2.012748e+04
4,30,40,2.012748e+04
4,30,50,2.012748e+04
4,30,1,2.182374e+04
4,30,2,1.967679e+04
4,30,3,1.967679e+04
4,30,5,1.967679e+04
4,30,10,1.967679e+04
4,30,20,1.455815e+04
4,30,30,1.257607e+04
4,30,40,1.257607e+04
4,30,50,1.257607e+04
4,30,1,1.337806e+04
4,30,2,1.259254e+04
4,30,3,1.213174e+04
4,30,5,1.213174e+04
4,30,10,1.213174e+04
4,30,20,1.213174e+04
4,30,30,1.213174e+04
4,30,40,1.213174e+04
4,30,50,9.209468e+03
4,30,1,2.091420e+04
4,30,2,2.091420e+04
4,30,3,2.091420e+04
4,30,5,2.091420e+04
4,30,10,2.091420e+04
4,30,20,2.091420e+04
4,30,30,2.091420e+04
4,30,40,9.559859e+03
4,30,50,1.191621e+03
4,30,1,3.466981e+04
4,30,2,2.605978e+04
4,30,3,2.605978e+04
4,30,5,2.605978e+04
4,30,10,2.605978e+04
4,30,20,2.605978e+04
4,30,30,2.605978e+04
4,30,40,5.084572e+03
4,30,50,8.163204e+02
4,30,1,2.892496e+04
4,30,2,2.892496e+04
4,30,3,2.892496e+04
4,30,5,2.892496e+04
4,30,10,2.892496e+04
4,30,20,2.892496e+04
4,30,30,2.892496e+04
4,30,40,2.892496e+04
4,30,50,2.892496e+04
4,30,1,5.681514e+04
4,30,2,5.681514e+04
4,30,3,2.364575e+04
4,30,5,2.364575e+04
4,30,10,2.364575e+04
4,30,20,2.364575e+04
4,30,30,2.364575e+04
4,30,40,2.364575e+04
4,30,50,2.364575e+04
4,30,1,4.136792e+04
4,30,2,4.136792e+04
4,30,3,2.887265e+04
4,30,5,2.868997e+04
4,30,10,2.868997e+04
4,30,20,2.868997e+04
4,30,30,1.575077e+04
4,30,40,1.575077e+04
4,30,50,1.812441e+03
4,30,1,3.738220e+04
4,30,2,3.614392e+04
4,30,3,3.614392e+04
4,30,5,3.614392e+04
4,30,10,3.614392e+04
4,30,20,3.614392e+04
4,30,30,1.894461e+04
4,30,40,1.480573e+04
4,30,50,2.060530e+03
4,30,1,7.416033e+04
4,30,2,7.416033e+04
4,30,3,7.416033e+04
4,30,5,7.416033e+04
4,30,10,7.416033e+04
4,30,20,7.416033e+04
4,30,30,7.416033e+04
4,30,40,7.416033e+04
4,30,50,7.416033e+04
4,30,1,5.752796e+04
4,30,2,5.752796e+04
4,30,3,2.252359e+04
4,30,5,2.252359e+04
4,30,10,2.252359e+04
4,30,20,2.252359e+04
4,30,30,2.252359e+04
4,30,40,4.105402e+03
4,30,50,8.178895e+02
4,30,1,2.396148e+04
4,30,2,2.396148e+04
4,30,3,2.396148e+04
4,30,5,2.396148e+04
4,30,10,2.396148e+04
4,30,20,2.396148e+04
4,30,30,1.302780e+04
4,30,40,4.511874e+03
4,30,50,4.511874e+03
4,30,1,3.127549e+04
4,30,2,3.127549e+04
4,30,3,3.127549e+04
4,30,5,3.127549e+04
4,30,10,3.127549e+04
4,30,20,3.127549e+04
4,30,30,3.127549e+04
4,30,40,6.209651e+03
4,30,50,7.759046e+02
4,30,1,5.120425e+04
4,30,2,5.120425e+04
4,30,3,5.120425e+04
4,30,5,5.120425e+04
4,30,10,5.120425e+04
4,30,20,5.120425e+04
4,30,30,5.120425e+04
4,30,40,5.120425e+04
4,30,50,5.120425e+04
4,30,1,2.238930e+04
4,30,2,2.238930e+04
4,30,3,2.043930e+04
4,30,5,2.043930e+04
4,30,10,2.043930e+04
4,30,20,2.043930e+04
4,30,30,2.043930e+04
4,30,40,2.043930e+04
4,30,50,2.043930e+04
4,30,1,2.489186e+04
4,30,2,2.489186e+04
4,30,3,2.489186e+04
4,30,5,2.145439e+04
4,30,10,1.726372e+04
4,30,20,1.726372e+04
4,30,30,1.726372e+04
4,30,40,3.640869e+03
4,30,50,8.458024e+02
4,30,1,3.320900e+04
4,30,2,3.320900e+04
4,30,3,3.320900e+04
4,30,5,3.320900e+04
4,30,10,3.320900e+04
4,30,20,3.320900e+04
4,30,30,3.320900e+04
4,30,40,3.320900e+04
4,30,50,3.320900e+04
4,30,1,2.058812e+04
4,30,2,2.058812e+04
4,30,3,2.058812e+04
4,30,5,2.058812e+04
4,30,10,2.058812e+04
4,30,20,2.058812e+04
4,30,30,1.903138e+04
4,30,40,9.826818e+03
4,30,50,1.322842e+03
4,30,1,4.922722e+04
4,30,2,4.922722e+04
4,30,3,4.922722e+04
4,30,5,4.922722e+04
4,30,10,4.922722e+04
4,30,20,4.922722e+04
4,30,30,4.922722e+04
4,30,40,4.922722e+04
4,30,50,4.922722e+04
4,30,1,5.135797e+04
4,30,2,5.135797e+04
4,30,3,5.135797e+04
4,30,5,5.135797e+04
4,30,10,2.771469e+04
4,30,20,2.771469e+04
4,30,30,2.771469e+04
4,30,40,2.771469e+04
4,30,50,2.771469e+04
4,30,1,2.190483e+04
4,30,2,2.035742e+04
4,30,3,2.035742e+04
4,30,5,2.035742e+04
4,30,10,2.035742e+04
4,30,20,2.035742e+04
4,30,30,2.035742e+04
4,30,40,2.035742e+04
4,30,50,1.951631e+03
4,30,1,3.662355e+04
4,30,2,3.662355e+04
4,30,3,3.662355e+04
4,30,5,3.662355e+04
4,30,10,3.662355e+04
4,30,20,3.662355e+04
4,30,30,3.662355e+04
4,30,40,3.662355e+04
4,30,50,3.662355e+04
