Run,Fitness
1,91515280.82525203
2,222189962.8999343
3,1862196.709724399
4,3628483.10276172
5,653889.3617914245
6,2332748.738042446
7,104246974.71146286
8,777064.421772561
9,3797894.2807702264
10,637555.5051542989
11,392653524.06127125
12,32988947.61238343
13,126233654.52158037
14,1638682.2892688315
15,920211.5449245872
16,2092069.7076130658
17,3819313.4360806006
18,87494169.91491607
19,31667560.76352117
20,1068371.5556243141
21,90498845.24632663
22,4427928.631170342
23,2803973.259074637
24,1724460.2658252977
25,221185.6594956309
26,3243633.126502916
27,15124733.909871386
28,7772705.488260798
29,18779003.96044685
30,2195546.9738655104
31,473180.78425641294
32,4590416.496322561
33,13394392.844491148
34,23615262.37511513
35,400154.9631154674
36,4361697.307757824
37,414355.6995262948
38,1492598.6811156096
39,19537367.654495366
40,26012061.781048458
41,49823176.64426493
42,837673.7975171759
43,5942099.29103607
44,7027047.811863053
45,1642443.490176482
46,13980468.688421883
47,185864348.11517644
48,2535577.8805089933
49,13929672.976400023
50,102963733.41335505
51,1179690.716562599

Best,221185.6594956309
Mean,34098588.11563171
Std,69742232.71753255
