Run,Fitness
1,137135.75323340457
2,88224.25285045076
3,137266.6794250325
4,493156663.70974314
5,89596.92708441887
6,280609353.7175009
7,671252925.4260001
8,6586418.677227829
9,2042672.1220009867
10,52171194.833576515
11,13144636.34780107
12,4597046.708442056
13,441548.6539090345
14,373678795.03995126
15,309438.6586272371
16,566457.7649924915
17,86491.71008136692
18,18555951.662901368
19,3786216.990026438
20,8485717395.838227
21,84425.27044326394
22,78629.89683335264
23,354540.59856012976
24,37456164.97812586
25,392769.9889819995
26,1881668046.823052
27,85743.13488344086
28,410726.94029721565
29,327580589.2329053
30,292620.21073181956
31,2040320443.2877963
32,3378758.6198052433
33,87394.89163474478
34,87924.19930162556
35,296714111.8597659
36,143144392.36637482
37,593556595.7713002
38,18244254.193125248
39,75522.11572879099
40,95504.09262646055
41,575425.8379811987
42,1138970914.0829482
43,92464.30469813863
44,10187269.723900342
45,464674.8224905199
46,90839889.59911275
47,82052583.93874413
48,88851.84638104917
49,87537.48009460224
50,4353365.558868272
51,890746733.7104689

Best,75522.11572879099
Mean,352347535.31081504
Std,1228505915.8516655
