Run,Fitness
1,3200.0074999442295
2,3200.0074669243722
3,3200.007499841544
4,3200.0074999491917
5,3200.007499104179
6,3200.007498719456
7,3200.0072550744517
8,3200.0073969817786
9,3200.0074247264247
10,3200.0074990916137
11,3200.0074997941965
12,3200.00749992435
13,3200.007496014527
14,3200.007499449716
15,3200.0074999310555
16,3200.0074992039126
17,3200.007497290642
18,3200.0074877419747
19,3200.0074772358953
20,3200.0074999518947
21,3200.0074981935054
22,3200.007499403011
23,3200.0074822994825
24,3200.007493484494
25,3200.007499828186
26,3200.0074999165145
27,3200.007493543968
28,3200.007499880283
29,3200.0074999921267
30,3200.007483679509
31,3200.0074999727394
32,3200.007498901587
33,3200.0074999759354
34,3200.007499927431
35,3200.0073689954024
36,3200.0074892897874
37,3200.0074578691997
38,3200.007499960998
39,3200.007499940196
40,3200.0074999718104
41,3200.0074496659545
42,3200.0074997909064
43,3200.0074999235285
44,3200.007468779332
45,3200.0074944183793
46,3200.0074999795743
47,3200.007499937045
48,3200.007498913391
49,3200.00749527106
50,3200.007499976489
51,3200.0074999783988

Best,3200.0072550744517
Mean,3200.0074836971694
Std,4.1488499068836624e-05
