Run,Fitness
1,3300.0072710463223
2,3300.007305271358
3,3300.0074998511755
4,3300.007499851098
5,3300.007467255966
6,3300.0074457156056
7,3300.0074998576306
8,3300.0074293511566
9,3300.0074985959213
10,3300.007476071558
11,3300.0074999522503
12,3300.0074999623575
13,3300.007499561794
14,3300.007496481491
15,3300.0074588700772
16,3300.0074944454545
17,3300.0074547063127
18,3300.007254690383
19,3300.007498977171
20,3300.0072904498184
21,3300.007499111487
22,3300.0074999305593
23,3300.0074999041626
24,3300.007499991855
25,3299.7396517962675
26,3300.007378284199
27,3300.007499815665
28,3300.0074994886986
29,3300.0074611097116
30,3300.007498850689
31,3300.0074999256112
32,3300.007260275017
33,3300.0074999311005
34,3300.007498730127
35,3300.0073196205067
36,3300.0074987086045
37,3300.0074998127816
38,3300.0074986509294
39,3300.007483438118
40,3300.0074999239596
41,3300.007499337842
42,3300.0072514752565
43,3300.0074923892294
44,3300.007498676371
45,3300.007463588999
46,3300.007499849425
47,3300.0074663828796
48,3300.0074999576123
49,3300.007499828384
50,3300.00749367001
51,3300.0074980865825

Best,3299.7396517962675
Mean,3300.002206892305
Std,0.03713097447478844
