Run,Fitness
1,2317.2348051885174
2,32981.09514455608
3,29968.178220887177
4,14890.071602533006
5,2522.442015248628
6,1760.8539916597806
7,21141.788301464665
8,1565.0837824413397
9,1526.38950069162
10,1524.8645325059076
11,1630.1915937186043
12,20284.112195193393
13,1464.3995725345303
14,18461.7731496587
15,9243.561680180877
16,19176.992594501153
17,1631.718944273845
18,1575.7144944895208
19,2209.797066636461
20,2599.4130796560257
21,10031.667551182003
22,1811.0680243758861
23,5147.567267914408
24,30589.07404782434
25,10578.259590759637
26,8076.495494709115
27,1473.9211577237277
28,1693.7532671279314
29,1404.6852238328556
30,1390.982527482575
31,17733.04452530874
32,1966.9265940123883
33,2240.715606969793
34,11632.949487268184
35,55640.11939530283
36,37758.312338171396
37,1401.8402542761191
38,65169.765051803755
39,2142.4196852869977
40,12239.11900408726
41,1498.8101863179172
42,1498.6502410753246
43,1595.6348681092481
44,12815.132530286402
45,1603.7751408856925
46,46929.63021374284
47,1444.6235927749574
48,8347.272147893107
49,23336.968806613106
50,2389.9095194455135
51,19303.66475794328

Best,1390.982527482575
Mean,11556.126164088768
Std,14752.576786673326
