Run,Fitness
1,1008.619250348063
2,1216.997117883709
3,1039.5181232362977
4,1024.722777083697
5,1017.7280820782091
6,1169.4613839626647
7,1102.7084401378343
8,1014.8511749355794
9,1023.8289508119578
10,1020.7231242478134
11,1272.8367443921936
12,1382.2316009417839
13,1047.3446535598741
14,1085.1403601718234
15,1069.4039716872871
16,1030.2649681056141
17,1007.0011224925358
18,1118.2562921470665
19,1044.3577689078284
20,1015.2157422647192
21,1064.440583508137
22,1013.8734101575361
23,1199.3610718095188
24,1247.996711421556
25,1322.1321677240567
26,1036.0892225305088
27,1148.5417486729455
28,1180.310314990266
29,1185.7569500355664
30,1319.6085371201166
31,1238.9595328968728
32,1391.1062867739656
33,1185.8803476279593
34,1190.9454761058719
35,1008.3937599100865
36,1044.3324540806416
37,1320.9620270088453
38,1099.281726869429
39,1271.4977567531498
40,982.6069383762418
41,1074.1135578256933
42,1036.0300842237862
43,1289.0841515764441
44,1177.261752528977
45,1079.0768921230672
46,1276.2575514325454
47,1227.5789908994088
48,1081.3054337441959
49,1206.7416424413464
50,1035.222096400115
51,1015.3519810366464

Best,982.6069383762418
Mean,1130.6139766274912
Std,112.97581892488738
