Run,Fitness
1,4386.186722890747
2,4224.848205064209
3,3776.801315890666
4,4053.8788963201187
5,4150.6326780356
6,3837.027997226869
7,4548.794041977955
8,3818.5326573451985
9,3879.179402316241
10,3855.3261497815474
11,4147.407896717417
12,3863.7931270974655
13,4225.479700024392
14,4033.9877857587844
15,3942.895166703569
16,3827.1156283572354
17,3978.4662788033247
18,3498.454670239471
19,3798.269614938487
20,3806.9098335042913
21,4218.183108188016
22,3970.6411625565747
23,4116.991777640503
24,3877.4617352198666
25,4426.2853949600885
26,4127.523676045395
27,3894.95094673704
28,4127.764398260294
29,3676.471423500011
30,4204.567140913396
31,3943.459826082293
32,3905.24662885536
33,3966.0517303663905
34,4014.90038462852
35,4703.219280096603
36,3749.647970441585
37,4191.526151809383
38,4232.55333782786
39,3814.130366229867
40,3857.1124819318547
41,4011.136000442225
42,4438.046659706861
43,3967.374541369628
44,4138.550035910457
45,3962.6728604716373
46,4459.342229230834
47,4038.7204195099757
48,3947.238379902571
49,3971.6223157722457
50,3707.304502206656
51,3868.0797249170523

Best,3498.454670239471
Mean,4023.191458053424
Std,234.21153445670626
