Run,Fitness
1,101893317297.34612
2,32092775990.6097
3,46388424502.739265
4,118525404101.64618
5,113215086848.7076
6,15461929121.651472
7,78752303998.73228
8,16495910875.648232
9,104951084077.01562
10,67129543972.796104
11,139154994495.39923
12,91229473762.41849
13,39397778379.4658
14,39636976743.71049
15,152189238640.793
16,136037676765.18289
17,76253621597.45155
18,92188949935.06195
19,14943695982.598013
20,102194625220.64429
21,63485723361.00341
22,122314731513.17087
23,50674515634.370224
24,85185979055.29527
25,89156338590.06679
26,77714245529.27763
27,16425697505.239555
28,112796293574.99675
29,118133104239.52744
30,81341223903.89992
31,61500471934.76282
32,14170370335.885496
33,51802844859.722626
34,169782984081.40723
35,37099336033.61972
36,137112632863.35907
37,86877968460.02875
38,123586929658.25609
39,105356934427.90291
40,15676182071.304203
41,94872760973.2714
42,33075934656.512398
43,134408855492.11212
44,111713309957.23952
45,118833509529.88657
46,99373364351.92754
47,11822674034.014133
48,66377065947.57711
49,80510223111.38828
50,102050093803.94295
51,74103096953.17676

Best,11822674034.014133
Mean,80891533504.97575
Std,40628065954.26223
