Run,Fitness
1,3200.0074964171695
2,3200.007499925853
3,3200.0074999460076
4,3200.0074999281223
5,3200.0074946240175
6,3200.0074913296903
7,3200.0074998924765
8,3200.0074992480627
9,3200.0074761845603
10,3200.0074976938786
11,3200.0074999780545
12,3200.007499969257
13,3200.0073177549516
14,3200.007446166483
15,3200.0074997680977
16,3200.007260232967
17,3200.007497675377
18,3200.007496325777
19,3200.007498488435
20,3200.007399783807
21,3200.0074979362175
22,3200.007480179273
23,3200.00749987145
24,3200.0074999872545
25,3200.007499402199
26,3200.0073278703244
27,3200.0072549175425
28,3200.007499994578
29,3200.007499808397
30,3200.007465096391
31,3200.0074972440893
32,3200.007496994112
33,3200.0074999402855
34,3200.007495386738
35,3200.007430760368
36,3200.0072553920854
37,3200.0074516611157
38,3200.00749969775
39,3200.007497650771
40,3200.007320012233
41,3200.0074864782323
42,3200.007326209634
43,3200.007497097792
44,3200.0074988977126
45,3200.007499946685
46,3200.0074989671157
47,3200.0074139382723
48,3200.0074366439444
49,3200.0074999185
50,3200.007499904789
51,3200.0074999210765

Best,3200.0072549175425
Mean,3200.007460765881
Std,7.117762525245415e-05
