Run,Fitness
1,79198158.3200821
2,66890747350.54583
3,29306583600.49166
4,79690296414.77226
5,72907076821.92834
6,106916071.58414744
7,140175283525.32715
8,707166421.494983
9,78035295873.95656
10,81243327748.0278
11,652926738.6496747
12,203333718.9899848
13,142944028949.16528
14,32326612610.96099
15,136522213742.33504
16,29568822523.073143
17,20988627466.249046
18,37034574653.582085
19,69578016805.67885
20,72098246.67928538
21,11888309952.8673
22,1825430358.4445515
23,218671508.84623092
24,56866295310.838905
25,29924630807.154175
26,118131712978.66461
27,3031953756.1787486
28,739844194.4015956
29,4288158577.0429335
30,31821017088.25589
31,1458344453.7440453
32,1502984837.1380532
33,692257262.661739
34,194746088.26732942
35,18072411305.14176
36,126210678709.42711
37,11559500071.261822
38,158796774470.38187
39,42389431465.427185
40,1170365747.3848407
41,71920596880.34372
42,263061866.85045707
43,88298913787.45793
44,106643481562.20972
45,42623802207.12504
46,63064272106.51211
47,85087604144.3266
48,109709750525.86745
49,64550801553.54267
50,105128002109.68996
51,91173289860.6323

Best,72098246.67928538
Mean,48397651823.33139
Std,47101545215.462585
