Run,Fitness
1,13828.992424781096
2,432674.7585810784
3,17594.30982436461
4,11805.497375926163
5,19936.140598698574
6,21697.986919421175
7,9766.224590550142
8,16723.703471070992
9,2269133428.779534
10,20900.38882404548
11,4773863258.438201
12,911920627.5066345
13,9144728584.75559
14,14902.210402362118
15,677104558.6912498
16,1403375295.1948504
17,16532.012072501144
18,11952.95053530793
19,11906168275.34265
20,17834.656519368855
21,1168758037.4469645
22,13408.493959320858
23,16281.990184892893
24,18023.78380520527
25,20095.893085892396
26,12219.979552858738
27,1339266824.847189
28,4930898401.694154
29,12207.67205761456
30,19948.248697419964
31,271228834.71956515
32,417931277.9995149
33,6769251806.312472
34,11041.77960709567
35,17521.478162898165
36,17730.069312385764
37,215335776.90366912
38,5385769855.43684
39,16826.31974668463
40,11891.760953697949
41,15853.29399066389
42,3384891241.4647994
43,12236.766797287037
44,15894.301707729634
45,6400912958.017853
46,2424084704.755543
47,2708849.8089946643
48,3674325627.3365207
49,16537.836370203666
50,22416.255830924696
51,21273.79363521767

Best,9766.224590550142
Mean,1322991682.0588703
Std,2588507151.1433783
