Run,Fitness
1,2919.090076456088
2,3276.259673320449
3,1560.5545295453874
4,3431.7403656947304
5,1673.648001774529
6,3546.3815791931233
7,1450.7484782302845
8,1468.2555291672452
9,2914.2734474705894
10,1499.2515169040757
11,1454.2265782768736
12,1589.1334538319268
13,1503.0250475187772
14,1368.9741235713955
15,1793.2386620943691
16,3459.376686564509
17,1719.2968789157421
18,1561.933387023961
19,3052.6906398309393
20,1552.2458697910847
21,1519.5894434955794
22,1514.4620736956304
23,1403.70168051215
24,2184.80502697511
25,1490.5753824793414
26,3433.1698348833906
27,1425.5094734138816
28,1563.0788329033783
29,1907.1862674152821
30,1441.195508365141
31,1625.4392774960324
32,1432.3790912994305
33,1460.1515099490116
34,1411.0796333997573
35,1488.7549858572288
36,3292.6990727892753
37,1434.7993426704395
38,1456.7242318752105
39,1430.2625452580628
40,2929.4821991587805
41,1647.034649771372
42,3190.6776055746723
43,2744.8134390380715
44,1504.9450592447704
45,1639.0098481523894
46,1615.2354701684974
47,1499.1540791784237
48,3431.2540909227973
49,2179.4618014928583
50,1549.450303373673
51,3744.282118569822

Best,1368.9741235713955
Mean,2027.1511451873635
Std,776.5813373079168
