Run,Fitness
1,6369.69999805224
2,6122.205822790626
3,11658.152421658426
4,11932.306929904034
5,92253.15344358343
6,19864.32330650992
7,6881.195816662474
8,16960.53611568793
9,47561.90567510111
10,71341.74424796813
11,306469.76596083463
12,5067.709417885997
13,18838.810573014216
14,90902.68765193633
15,7325.698341824457
16,37764.34668536496
17,20926.807854369108
18,38635.45399473467
19,13415.800994899138
20,5735.103333191793
21,13713.37207536817
22,6871.203921449936
23,79867.03332822898
24,50082.24608772813
25,19607.813358150514
26,197469.54621409124
27,10418.200525856662
28,7793.7111656226525
29,34224.03498751748
30,50371.169318433516
31,6392.941564698759
32,23223.554787235422
33,11995.357995730734
34,668793.4131896439
35,27807.39183000647
36,5898.198254573941
37,32212.606018525938
38,45730.50249278181
39,6412.291003175087
40,105329.25420721642
41,11073.030038136449
42,9162.4026381714
43,6776.468327924395
44,6660.361667271067
45,75436.10353566789
46,5295.432030968187
47,31375.90398404919
48,10867.501680360388
49,165019.7578614092
50,7281.873302474241
51,15653.585230080558

Best,5067.709417885997
Mean,50683.20923938279
Std,103112.21275911352
