Run,Fitness
1,3300.007499944536
2,3300.0074898363373
3,3300.007494251381
4,3300.007499865522
5,3300.007499946674
6,3300.0074999295134
7,3300.007497534508
8,3300.007469277996
9,3300.0074949914124
10,3300.0074406567596
11,3300.007499419071
12,3300.007499819634
13,3300.0074990226744
14,3300.007498354508
15,3300.007499998034
16,3300.0074968793597
17,3300.007415431729
18,3300.007499973118
19,3300.0074998325676
20,3300.007499544036
21,3300.0074997367046
22,3300.0074993469307
23,3300.007499839003
24,3300.0073088626687
25,3300.0074989013724
26,3300.0074798924734
27,3300.0074999809403
28,3300.007499723292
29,3300.0074997249485
30,3300.007290845835
31,3300.0074998034374
32,3300.007499189831
33,3300.007336205711
34,3300.007499857772
35,3300.0074852596945
36,3300.0074921982014
37,3300.0074999645294
38,3300.0074996671597
39,3300.007486023219
40,3300.0074824078274
41,3300.0074879952167
42,3300.007499903102
43,3300.0074990973717
44,3300.007499992524
45,3300.0074993181197
46,3300.007499976871
47,3300.0074996573517
48,3300.0074997556253
49,3300.007499997476
50,3300.007499969195
51,3300.0074060448005

Best,3300.007290845835
Mean,3300.007481248011
Std,4.6681227559847765e-05
