Run,Fitness
1,88650.24545024676
2,24599160.162695084
3,91756.8947135247
4,70404897.61348866
5,83642.70474846307
6,90620.96220230965
7,315618210.9154653
8,368924949.42618704
9,29125746.778183788
10,81904.90632697399
11,87888.82455054708
12,64099.22245047117
13,28817953.836262457
14,1893070080.815795
15,66962.27119729022
16,134669314.98694295
17,85916.63428015473
18,91290.23365115476
19,338423.52606658963
20,89238.8994559821
21,411551.9756624758
22,529468842.21767265
23,47747.09108478613
24,3839082.856741636
25,141651.74520792882
26,88314.12346237623
27,16376411.368847005
28,36934682.79362173
29,52207164.39857754
30,90358.58437633335
31,85306.70918819416
32,56002.9519477048
33,69375.58989881126
34,57963.51769555814
35,33407832.088050187
36,64493.26690049044
37,93666.32983497792
38,59827.475865867746
39,85568.8338610858
40,244421.3783735514
41,95745.82663478736
42,89922.17591173103
43,59221.811040389206
44,36307832.34019808
45,88885.31002686803
46,14120448.2237291
47,80382.61622419332
48,393191038.62418044
49,79618.13820274337
50,3894564.8086685557
51,74943.73853523369

Best,47747.09108478613
Mean,78203991.74059485
Std,279174584.43143064
