Run,Fitness
1,13741.042973526168
2,13249.438507904924
3,15089.80358132436
4,9097.515767962883
5,14609.112431126414
6,9684.436132175326
7,11109.485788447015
8,14753.574786740523
9,14754.631619692565
10,15154.86469082473
11,11926.868301977674
12,9655.216245524303
13,11306.496596693436
14,16776.5415942056
15,12738.76957598612
16,13725.032700791091
17,11358.313797022874
18,11761.455089830404
19,12203.407118029576
20,9965.161342645333
21,13230.770409012839
22,13690.798487528458
23,16275.54227661396
24,9902.55104400485
25,13845.761898617246
26,9921.814304857857
27,10824.874229952196
28,11370.916727958349
29,18334.797089686814
30,13732.631329531458
31,15711.175292860002
32,16252.447715363973
33,14968.606192391333
34,12596.914724608923
35,10085.35675811314
36,10786.396585820188
37,13612.283128089954
38,14377.175897707935
39,12975.72280877601
40,13458.459213874947
41,15917.983661958813
42,16066.48011582017
43,14601.046517657864
44,13554.816611142542
45,10529.106990605658
46,13685.262445903645
47,12191.914445937486
48,13492.923181734059
49,15771.111214612709
50,9493.368518021694
51,19331.71885234906

Best,9097.515767962883
Mean,13201.017594383244
Std,2359.106578700046
